id,date,text
535,2017-02-14T08:17:37,"#435
죽을 만큼 사랑했던 사람과 모른 체 지나가게 되는 날이 오고
한때는 비밀을 공유하던 가까운 친구가 전화 한 통 하지 않을 만큼 멀어지는 날이 오고
또 한때는 죽이고 싶을 만큼 미웠던 사람과 웃으며 볼 수 있듯이 시간이 지나면 이것 또한 아무것도 아니다
-엘리자베스 퀴블러 로스, <상실수업>-"
537,2017-02-15T07:53:32,"#436
준비에 실패하는 것은
실패를 준비하는 것이다
-벤자민 프랭클린-"
539,2017-02-16T08:16:36,"#437
사랑한다는 것으로
새의 날개를 꺾어
너의 곁에 두려 하지 말고
가슴에 작은 보금자리를 만들어
종일 지친 날개를
쉬고 다시 날아갈
힘을 줄 수 있어야 하리라
- 서정윤, <홀로서기>-"
541,2017-02-17T07:55:08,"#438
자신의 마음이 어디에 끌리는지
항상 관찰해야 한다
삶이 가야 할 방향이
그곳에 있기 때문이다
- 빌리 코놀리-"
543,2017-02-18T08:21:28,"#439
적당히 채워라.
어떤 그릇에 물을 채우려 할 때
지나치게 채우고자 하면
곧 넘치고 말 것이다.
모든 불행은 스스로
만족함을 모르는 데서 비롯된다.
- 최인호, <상도>-"
545,2017-02-19T08:04:56,"#440
게으름과 여유는
명백히 구분되어야 한다
구분은 의외로 쉽다
여유는 할 일을 하면서
충분히 쉬는 것이지만
게으름은 할 일도 안하면서
제대로 쉬지도 못하는 것이다
-문요한, <굿바이 게으름>-"
547,2017-02-20T08:00:56,"#441
예전의 어린 나는 가슴속에 나침반이 하나 있었다
그래서 어디로 가야 할지 모를 때
가슴 속의 나침반이 나의 길로 나를 이끌었다
언제부터인가 나는 돈에 집착하기 시작했고
가슴속의 나침반은 더이상 작동하지 않았다
몸에 쇳가루가 많이 묻으면 나침반은 돌지 않는 법
나의 순결한 나침반이 우울증을 앓던 날
나는 그렇게 나의 길을 잃었다
-박광수, <참 서툰 사람들>-"
549,2017-02-21T08:15:54,"#442
다른 사람들과 비슷하지 않다는 것은
흠이 아니라 매력이다
-신경숙, <푸른눈물>-"
551,2017-02-22T08:12:36,"#443
건강을 좋은 것으로 만드는 것은 병이고
배부름을 달콤하게 만드는 것은 배고픔이며
휴식을 달콤하게 만드는 것은 피곤함이다
-헤라클레이토스-"
553,2017-02-23T07:56:22,"#444
성공하지 못한 사람들의 한 가지 공통점은 꾸물거린다는 사실입니다.
누가 불러도 벌떡 일어나서 달려나오는 일이 없습니다.
망설이고 꾸물거리다 끝나는거예요
-정채봉, <간장종지>-"
555,2017-02-24T07:57:48,"#445
내가
행복했던 곳으로 
가주세요
-박지웅, <구름과 집 사이를 걸었다>-"
557,2017-02-25T08:27:02,"#446
인생은 놀이공원이야
해볼 건 다 해보고 나가야지
본전을 건지는 거야
-김연수, <우리가 보낸 순간>-"
559,2017-02-26T08:28:04,"#447
무너져버릴 것 같은 순간은
앞으로도 여러 번 겪을 것이다
그럴 때마다 주위 사람이나
사물로부터 용기를 얻으면 된다
모두들 그렇게 힘을 내고 살아간다
-오쿠다 히데오, <공중그네>-"
561,2017-02-27T08:26:21,"#448
당신의 표정, 당신의 말, 당신의 행동
스스로 선택하지 못한다면 그것은 성격이고 선택할 수 있다면 그것은 인격이다
-김은주, <1cm art>-"
563,2017-02-28T08:19:36,"#449
게가 똑바로 걷도록
가르칠 수는 없다
-아리스토텔레스-"
565,2017-03-01T09:00:32,"#450
보고 싶은거 같이 보고
먹고 싶은거 같이 먹고
가고 싶은데 같이 가고
그렇게 살자, 우리
-서제유, <오늘이 너무 익숙해서>-"
567,2017-03-02T08:26:48,"#451
하고 싶은 것을 생각하는 순간
장애물도 같이 따라온다
목표와 장애물은 묶음상품이다
-전옥표, <빅 피처를 그려라>-"
569,2017-03-03T07:52:57,"#452
학문은 흐르는 물을
거슬러 올라가는 배와 같아서
앞으로 나아가지 않으면
후퇴하게 마련이다
-논어-"
571,2017-03-04T08:42:40,"#453
상처가 아물고 난 다음에 받은 약은 상처를 치료하는 데 사용하기에는 너무 늦고
도리어 그 아프던 기억을 상기시키는 역할을 하는 경우가 있습니다
-신영복, <감옥으로부터의 사색>-"
573,2017-03-05T10:03:41,"#454
어떤 일을 진심으로 하고 싶다면
아무리 바빠도 시간을 쪼갤 것이다
사람들이 일을 벌이지 않는 것은
그만큼 간절히 원하지 않기 때문이다
그러면서 애꿎은 시간 탓만 한다
-제이슨 프라이드, <똑바로 일하라>-"
575,2017-03-06T07:40:17,"#455
고기를 잡는 사람과
그저 물을 흐려놓기만 하는 사람이 있다.
- 중국 격언-"
577,2017-03-07T08:23:10,"#456
행복은 몸에 좋다
하지만 마음의 힘을 길러주는 것은
슬픔이다
-마르셀 프루스트-"
579,2017-03-08T07:52:05,"#457
문을 나서면
여행의 가장 어려운 관문은
지난 셈이다
-네덜란드 격언-"
581,2017-03-09T07:51:32,"#458
기다리는 것은 힘들지만
기다리지 않는 시간보다
훨씬 행복하다
-에쿠니 가오리, <도쿄타워>-"
583,2017-03-10T09:07:40,"#459
초보 작가는 문학적 표현을 위해 안달하지만
베테랑 작가는 문학적 표현을 없애느라 애쓴다.
-버나드 쇼-"
585,2017-03-11T09:08:00,"#460
방치된 정원에 잡초가 자라듯
노력하지 않는 사랑은
어느새 다른 감정들에 의해 가려진다
-앙드레 모로아-"
587,2017-03-12T08:09:10,"#461
할 일이 아무 것도 없는 것은 즐겁지 않다
할 일이 많은데 안 하고 있는 것이 즐거운 것이다
-메리 윌슨 리틀-"
589,2017-03-13T08:05:12,"#462
매일 행복하진 않지만
행복한 일은 매일 있어
-곰돌이 푸-"
591,2017-03-14T07:52:33,"#463
삶을 돌이켜보면 때로는 실수를 하거나
잘못된 선택을 한것처럼 보이는 경우가 있다
하지만 존재의 어떤차원에서 보면
그당시로서는 그것이 최선의 행동이었고
언젠가는 그것이 뒷걸음질이 아니라
앞으로 내디딘 발걸음이었다는것이 밝혀질 것이다
-말로 모건, <무탄트 메시지>-"
